src	tgt	src_name	tgt_name
“	""""	LeftDoubleQuotationMark	QuotationMark
”	""""	RightDoubleQuotationMark	QuotationMark
‟	""""	DoubleHigh-Reversed-9QuotationMark	QuotationMark
‘	'	LeftSingleQuotationMark	Apostrophe
’	'	RightSingleQuotationMark	Apostrophe
‐	-	Hyphen	Hyphen-Minus
–	-	EnDash	Hyphen-Minus
—	-	EmDash	Hyphen-Minus
―	-	HorizontalBar	Hyphen-Minus
−	-	MinusSign	Hyphen-Minus
∶	:	Ratio	Colon
ᆞ	·	HangulJungseongAraea	MiddleDot
∙	·	BulletOperator	MiddleDot
⋅	·	DotOperator	MiddleDot
・	·	KatakanaMiddleDot	MiddleDot
ㆍ	·	HangulLetterAraea	MiddleDot
